Order,Latin_binomial,Island,Ancestor_or_closest_mainland_relative,Size_ratio,Body_mass_mainland_taxon,Body_mass_island_taxon,Log_Size_ratio,Magnitude_body_size_change,Direction_body_size_change,IUCN_Category,Source_Body_mass_and_size_ratio,Source_Ancestor_or_closest_mainland_relative,Endemism,Notes
Chiroptera,Hipposideros_cervinus,,,1.019,8.47,8.63093,0.008174184,0.008174184,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Hipposideros_commersoni,Madagascar,Hipposideros_vittatus,0.774824081,127.9,99.1,-0.11079689,0.11079689,dwarfism,NT,Faurby et al. 2020,Foley et al. 2017,yes,
Chiroptera,Hipposideros_corynophyllus,New Guinea,,,,14.5,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Hipposideros_coxi,Borneo,,,,9.3,,,,EN,Faurby et al. 2020,,yes,
Chiroptera,Hipposideros_demissus,Makira,Hipposideros_diadema,0.568493151,43.8,24.9,-0.245274763,0.245274763,dwarfism,EN,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Chiroptera,Hipposideros_diadema,,,1.068493151,36.5,39,0.028771743,0.028771743,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Hipposideros_edwardshilli,New Guinea,,,,11.3,,,,VU,Faurby et al. 2020,,yes,
Chiroptera,Hipposideros_galeritus,,,0.972223161,6.166074608,5.994800544,-0.012234037,0.012234037,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Hipposideros_larvatus,,,1.016,19.9,20.2184,0.006893708,0.006893708,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Hipposideros_madurae,Java: Madura,,,,13.9,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Hipposideros_maggietaylorae,New Guinea: Bismarck Archipelago,,,,18.5,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Hipposideros_muscinus,New Guinea,,,,8.6,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Hipposideros_obscurus,Bohol: Catanduanes: Cebu: Dinagat: Luzon: Leyte: Mindoro: Maripipi: Mindanao: Mindoro: Negros: Pollilo: Siquijor,Hipposideros_boeadii,1.233766234,7.7,9.5,0.09123288,0.09123288,gigantism,LC,Faurby et al. 2020,Murray et al. 2012,yes,
Chiroptera,Hipposideros_papua,New Guinea: Halmahera: Bacan: Gebe: Biak: Supiori: Numfoor,,,,10.1,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Hipposideros_pelingensis,Sulawesi,,,,56.2,,,,NT,Faurby et al. 2020,,yes,
Chiroptera,Hipposideros_pomona,,,0.940751298,12.15435434,11.43422462,-0.026525174,0.026525174,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Hipposideros_pygmaeus,Mindanao: Bohol: Cebu: Luzon: Marinduque: Mindoro: Negros: Panay: Pollilo: Samar: Siquijor ,Hipposideros_bicolor,0.460526316,7.6,3.5,-0.336745548,0.336745548,dwarfism,LC,Faurby et al. 2020,Heaney et al. 2016,yes,
Chiroptera,Hipposideros_sorenseni,Java,,,,20.2,,,,VU,Faurby et al. 2020,,yes,
Chiroptera,Hipposideros_sumbae,Sumba: Rote: Sumbawa: Flores: Semau: Savu ,,,,13.3,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Hipposideros_thomensis,Sao Tome,,,,67,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Hipposideros_wollastoni,New Guinea,,,,6.8,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Hybomys_basilii,Bioko,Hybomys_univittatus,1.121848739,47.6,53.4,0.049934304,0.049934304,gigantism,EN,Faurby et al. 2020,Missoup et al. 2018,yes,
Primates,Hylobates_albibarbis,,,1.131116139,5623.413252,6360.733485,0.053507199,0.053507199,gigantism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Hylobates_klossii,,,0.876744672,6653.4,5833.333,-0.057126865,0.057126865,dwarfism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Hylobates_lar,,,1.042,5630,5866.46,0.017867719,0.017867719,gigantism,EN,Island populations dataset in this study,,no,Median values from population dataset
Primates,Hylobates_moloch,Java,Hylobates_agilis,1.150442478,5650,6500,0.060864909,0.060864909,gigantism,EN,Faurby et al. 2020,Whittaker et al. 2007,yes,
Primates,Hylobates_muelleri,Borneo,Hylobates_lar,1.226492232,4892,6000,0.088664802,0.088664802,gigantism,EN,Faurby et al. 2020,Whittaker et al. 2007,yes,
Eulipotyphla,Hylomys_parvus,Sumatra,Hylomys_suillus,0.582066869,65.8,38.3,-0.23502712,0.23502712,dwarfism,VU,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Eulipotyphla,Hylomys_suillus,,,0.937653529,64.5654229,60.53999663,-0.027957608,0.027957608,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Hylopetes_nigripes,Palawan: Bancalan ,Hylopetes_alboniger,2.090837901,255.4,534,0.320320364,0.320320364,gigantism,NT,Faurby et al. 2020,Corbet & Hill 1992,yes,
Rodentia,Hylopetes_sipora,Sipura,Hylopetes_platyurus,1.506756757,59.2,89.2,0.178043148,0.178043148,gigantism,EN,Faurby et al. 2020,Upham et al. 2019,yes,
Rodentia,Hylopetes_spadiceus,,,1.111,118,131.098,0.045714059,0.045714059,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Hyomys_goliath,New Guinea,,,,817.5,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Hyosciurus_heinrichi,Sulawesi,,,,296,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Hyosciurus_ileile,Sulawesi,,,,315,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Hypogeomys_antimena,Madagascar,,,,1250,,,,EN,Faurby et al. 2020,,yes,
Chiroptera,Hypsugo_savii,,,0.894,6.27,5.60538,-0.048662481,0.048662481,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Hystrix_brachyura,,,0.928,8000,7424,-0.032452024,0.032452024,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Hystrix_crassispinis,Borneo,Hystrix_brachyura,0.644378698,8450,5445,-0.190858825,0.190858825,dwarfism,LC,Faurby et al. 2020,Van Weers 2005,yes,
Rodentia,Hystrix_javanica,Java: Bali: Sumbawa: Flores: Lombok: Madura: Tonahdjampea,Hystrix_brachyura,2.723597633,8450,23014.4,0.435142948,0.435142948,gigantism,LC,Faurby et al. 2020,Van Weers 2005,yes,
Rodentia,Hystrix_pumila,Palawan: Busuanga,Hystrix_brachyura,0.324260355,8450,2740,-0.489106146,0.489106146,dwarfism,VU,Faurby et al. 2020,Van Weers 2005,yes,
Rodentia,Hystrix_sumatrae,Sumatra,Hystrix_brachyura,0.385798817,8450,3260,-0.413639109,0.413639109,dwarfism,LC,Faurby et al. 2020,Van Weers 2005,yes,
Primates,Indri_indri,Madagascar,,,,8000,,,,CR,Faurby et al. 2020,,yes,
Rodentia,Iomys_horsfieldii,,,1.032812204,120.2264435,124.171338,0.014021361,0.014021361,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Iomys_sipora,Sipura: North Pagai,Iomys_horsfieldii,1.032542373,147.5,152.3,0.013907883,0.013907883,gigantism,EN,Faurby et al. 2020,Chasen 1940,yes,
Peramelemorphia,Isoodon_auratus_barrowensis,,,0.554618897,569.4,315.8,-0.256005337,0.256005337,dwarfism,VU,Island populations dataset in this study,,no,Median values from population dataset
Peramelemorphia,Isoodon_obesulus,,,1.355198009,736.9501934,970.872261,0.132002755,0.132002755,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Kadarsanomys_sodyi,Java,,,,199.5,,,,EN,Faurby et al. 2020,,yes,
Chiroptera,Kerivoula_muscina,New Guinea,,,,5.2,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Komodomys_rintjanus,Rintja: Padar: Lomblen: Pantar,,,,150,,,,VU,Veatch et al. 2019,,yes,
Rodentia,Lariscus_hosei,Borneo,Lariscus_insignis,0.975428571,175,170.7,-0.010804528,0.010804528,dwarfism,LC,Faurby et al. 2020,Chasen 1940,yes,
Rodentia,Lariscus_insignis,,,0.84811242,199.5262315,169.2206751,-0.071546577,0.071546577,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Lariscus_obscurus,Siberut: Sipora: North: South Pagai,Lariscus_insignis,1.076,175,188.3,0.031812271,0.031812271,gigantism,NT,Faurby et al. 2020,Chasen 1940,yes,
Chiroptera,Lasiurus_degelidus,Jamaica,Lasiurus_seminolus,1.292929293,9.9,12.8,0.111574775,0.111574775,gigantism,VU,Faurby et al. 2020,Baker et al. 1988,yes,
Chiroptera,Lasiurus_minor,Bahamas Islands: Hispaniola: Puerto Rico,Lasiurus_seminolus,0.949494949,9.9,9.4,-0.022507341,0.022507341,dwarfism,VU,Faurby et al. 2020,Morales & Bickham 1995,yes,
Chiroptera,Lasiurus_pfeifferi,Cuba,Lasiurus_seminolus,1.121212121,9.9,11.1,0.049687784,0.049687784,gigantism,NT,Faurby et al. 2020,Baird et al. 2017,yes,
Rodentia,Lemmus_trimucronatus,,,1.08,75,81,0.033423755,0.033423755,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Primates,Lemur_catta,Madagascar,,,,2900,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Lenomys_meyeri,Sulawesi,,,,480,,,,LC,Faurby et al. 2020,,yes,
Carnivora,Leopardus_guigna,,,0.969,2500,2422.5,-0.013676223,0.013676223,dwarfism,VU,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Leopoldamys_sabanus,,,0.9375,351,329.0625,-0.028028724,0.028028724,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Leopoldamys_siporanus,North Pagai: South Pagai: Sipora: Siberut,Leopoldamys_sabanus,1.702630801,338.3,576,0.231120486,0.231120486,gigantism,VU,Faurby et al. 2020,Balakirev et al. 2013,yes,
Primates,Lepilemur_aeeclis,Madagascar,,,,867.5,,,,EN,Faurby et al. 2020,,yes,
Primates,Lepilemur_ahmansonorum,Madagascar,,,,610,,,,CR,Faurby et al. 2020,,yes,
Primates,Lepilemur_ankaranensis,Madagascar,,,,750,,,,EN,Faurby et al. 2020,,yes,
Primates,Lepilemur_betsileo,Madagascar,,,,1150,,,,EN,Faurby et al. 2020,,yes,
Primates,Lepilemur_dorsalis,Madagascar,,,,855,,,,EN,Faurby et al. 2020,,yes,
Primates,Lepilemur_edwardsi,Madagascar,,,,877.5,,,,EN,Faurby et al. 2020,,yes,
Primates,Lepilemur_fleuretae,Madagascar,,,,980,,,,EN,Faurby et al. 2020,,yes,
Primates,Lepilemur_grewcockorum,Madagascar,,,,780,,,,CR,Faurby et al. 2020,,yes,
Primates,Lepilemur_hollandorum,Madagascar,,,,1000,,,,CR,Faurby et al. 2020,,yes,
Primates,Lepilemur_hubbardorum,Madagascar,,,,990,,,,EN,Faurby et al. 2020,,yes,
Primates,Lepilemur_jamesorum,Madagascar,,,,780,,,,CR,Faurby et al. 2020,,yes,
Primates,Lepilemur_leucopus,Madagascar,,,,525,,,,EN,Faurby et al. 2020,,yes,
Primates,Lepilemur_microdon,Madagascar,,,,900,,,,EN,Faurby et al. 2020,,yes,
Primates,Lepilemur_milanoii,Madagascar,,,,720,,,,EN,Faurby et al. 2020,,yes,
Primates,Lepilemur_mittermeieri,Madagascar,,,,822.3,,,,CR,Faurby et al. 2020,,yes,
Primates,Lepilemur_mustelinus,Madagascar,,,,1000,,,,VU,Faurby et al. 2020,,yes,
Primates,Lepilemur_otto,Madagascar,,,,938,,,,EN,Faurby et al. 2020,,yes,
Primates,Lepilemur_petteri,Madagascar,,,,630,,,,EN,Faurby et al. 2020,,yes,
Primates,Lepilemur_randrianasoloi,Madagascar,,,,780,,,,EN,Faurby et al. 2020,,yes,
Primates,Lepilemur_ruficaudatus,Madagascar,,,,750,,,,CR,Faurby et al. 2020,,yes,
Primates,Lepilemur_sahamalazensis,Madagascar,,,,789.5,,,,CR,Faurby et al. 2020,,yes,
Primates,Lepilemur_scottorum,Madagascar,,,,880,,,,EN,Faurby et al. 2020,,yes,
Primates,Lepilemur_seali,Madagascar,,,,950,,,,VU,Faurby et al. 2020,,yes,
Primates,Lepilemur_septentrionalis,Madagascar,,,,750,,,,CR,Faurby et al. 2020,,yes,
Primates,Lepilemur_tymerlachsoni,Madagascar,,,,880,,,,CR,Faurby et al. 2020,,yes,
Primates,Lepilemur_wrightae,Madagascar,,,,950,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Leporillus_conditor,,,1.498,329,492.842,0.175511813,0.175511813,gigantism,NT,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Leptomys_elegans,New Guinea,,,,84.8,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Leptomys_ernstmayri,New Guinea,,,,42.9,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Leptomys_signatus,New Guinea,,,,54.4,,,,LC,Faurby et al. 2020,,yes,
Lagomorpha,Lepus_arcticus,,,0.98,4300,4214,-0.008773924,0.008773924,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Lagomorpha,Lepus_brachyurus,Honshu: Shikoku: Kyushu: Sado: Dogo: Nishinoshima: Awaji: Shodo: Fukue: Nakadori: Shimojima: Shimokoshiki,,,,2350,,,,LC,Faurby et al. 2020,,yes,
Lagomorpha,Lepus_californicus,,,1.15,2300,2645,0.06069784,0.06069784,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Lagomorpha,Lepus_corsicanus,,,0.74,4200,3108,-0.13076828,0.13076828,dwarfism,VU,Island populations dataset in this study,,no,Median values from population dataset
Lagomorpha,Lepus_europaeus,,,0.8,4200,3360,-0.096910013,0.096910013,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Lagomorpha,Lepus_hainanus,Hainan,Lepus_peguensis,0.950118765,2105,2000,-0.022222105,0.022222105,dwarfism,EN,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Lagomorpha,Lepus_insularis,Espiritu Santo,Lepus_californicus,1.093250774,2422.5,2648.4,0.038719793,0.038719793,gigantism,NT,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Lagomorpha,Lepus_sinensis,,,0.898,1610,1445.78,-0.046723663,0.046723663,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Afrosoricida,Limnogale_mergulus,Madagascar,,,,78.6,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Limnomys_bryophilus,Mindanao,,,,64.1,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Limnomys_sibuanus,Mindanao,,,,60,,,,LC,Faurby et al. 2020,,yes,
Carnivora,Lontra_canadensis,,,1.0545,8090,8530.905,0.023046584,0.023046584,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Lontra_felina,,,0.833,8090,6738.97,-0.079354999,0.079354999,dwarfism,EN,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Lorentzimys_nouhuysi,New Guinea,,,,14.2,,,,LC,Faurby et al. 2020,,yes,
Primates,Loris_lydekkerianus,,,0.935963168,265,248.0302394,-0.028741241,0.028741241,dwarfism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Loris_tardigradus,,,0.584042553,235,137.25,-0.233555509,0.233555509,dwarfism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Carnivora,Lutra_lutra,,,0.916913601,8860,8123.854504,-0.037671585,0.037671585,dwarfism,NT,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Lutra_sumatrana,,,1.095239663,5495.408739,6018.789613,0.039509163,0.039509163,gigantism,EN,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Lutrogale_perspicillata,,,1.083515089,9000,9751.635803,0.034834964,0.034834964,gigantism,VU,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Lycalopex_fulvipes,,,0.88,3500,3080,-0.055517328,0.055517328,dwarfism,EN,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Lynx_canadensis,,,0.968344141,8511.380382,8331.246439,-0.013970271,0.013970271,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Primates,Macaca_cyclopis,,,1.080463766,8500,9183.942012,0.033610207,0.033610207,gigantism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Macaca_fascicularis,,,0.891916844,4590,4093.898313,-0.049675634,0.049675634,dwarfism,VU,Island populations dataset in this study,,no,Median values from population dataset
Primates,Macaca_fascicularis_philippensis,,,1.031891755,4590,4736.383155,0.013634142,0.013634142,gigantism,NT,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Macaca_fuscata,,,0.889443909,9675,9145.578148,-0.050881434,0.050881434,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Macaca_hecki,Sulawesi,Macaca_nemestrina,1.429365521,6296.5,9000,0.155143302,0.155143302,gigantism,VU,Faurby et al. 2020,Evans et al. 1999,yes,
Primates,Macaca_maura,Sulawesi,Macaca_nemestrina,1.159374256,6296.5,7300,0.064223652,0.064223652,gigantism,EN,Faurby et al. 2020,Evans et al. 1999,yes,
Primates,Macaca_mulatta,,,0.779,6450,5024.55,-0.108462542,0.108462542,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Primates,Macaca_nemestrina,,,0.911951462,7870,7177.058007,-0.040028276,0.040028276,dwarfism,EN,Island populations dataset in this study,,no,Median values from population dataset
Primates,Macaca_nigra,,,0.713379109,9900,7062.453174,-0.146679613,0.146679613,dwarfism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Macaca_nigrescens,Sulawesi,Macaca_nemestrina,1.508774716,6296.5,9500,0.178624398,0.178624398,gigantism,VU,Faurby et al. 2020,Evans et al. 1999,yes,
Primates,Macaca_ochreata,,,1.089609675,10000,10896.09675,0.037270951,0.037270951,gigantism,VU,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Macaca_pagensis,,,0.651388614,7500,4885.414608,-0.186159837,0.186159837,dwarfism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Macaca_siberu,Siberut,Macaca_nemestrina,0.718923211,6296.5,4526.7,-0.143317494,0.143317494,dwarfism,EN,Faurby et al. 2020,Kitchener & Groves 2002,yes,
Primates,Macaca_sinica,,,0.821920055,6250,5137.000342,-0.085170423,0.085170423,dwarfism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Macaca_tonkeana,Sulawesi,Macaca_nemestrina,1.429365521,6296.5,9000,0.155143302,0.155143302,gigantism,VU,Faurby et al. 2020,Evans et al. 1999,yes,
Carnivora,Macrogalidia_musschenbroekii,Sulawesi,,,,4000,,,,VU,Faurby et al. 2020,,yes,
Chiroptera,Macroglossus_minimus,,,0.819921462,16.3,16.42087558,-0.086227745,0.086227745,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Diprotodontia,Macropus_fuliginosus,,,0.856866964,25667.82,21993.907,-0.067086601,0.067086601,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Diprotodontia,Macropus_giganteus,,,1.188426656,23251.62,27632.845,0.074972384,0.074972384,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Macrotarsomys_bastardi,Madagascar,,,,29.5,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Macrotarsomys_ingens,Madagascar,,,,63.5,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Macruromys_major,New Guinea,,,,350,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Makalata_didelphoides,,,0.839,400,335.6,-0.076238039,0.076238039,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Mallomys_aroaensis,New Guinea,,,,1664,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Mallomys_gunung,New Guinea,,,,2000,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Mallomys_istapantap,New Guinea,,,,1950,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Mallomys_rothschildi,New Guinea,,,,1157.5,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Mammelomys_lanosus,New Guinea,,,,117.2,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Mammelomys_rattoides,New Guinea,,,,209.5,,,,LC,Faurby et al. 2020,,yes,
Primates,Mandrillus_leucophaeus_poensis,,,0.588764045,22250,13100,-0.23005872,0.23005872,dwarfism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Pholidota,Manis_culionensis,Palawan: Calamian Islands: Batas,Manis_javanica,1.019417476,5150,5250,0.008352074,0.008352074,gigantism,CR,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Pholidota,Manis_javanica,,,0.727214349,7500,5454.107621,-0.13833756,0.13833756,dwarfism,CR,Island populations dataset in this study,,no,Median values from population dataset
Pholidota,Manis_pentadactyla,,,1.384,2350,3252.4,0.14113609,0.14113609,gigantism,CR,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Margaretamys_elegans,Sulawesi,,,,121,,,,NT,Faurby et al. 2020,,yes,
Didelphimorphia,Marmosa_murina,,,1.45,85,123.25,0.161368002,0.161368002,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Didelphimorphia,Marmosa_robinsoni,,,1.3,61.7,80.21,0.113943352,0.113943352,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Marmota_caligata,,,0.92,5900,5428,-0.036212173,0.036212173,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Marmota_vancouverensis,,,0.62,5900,3658,-0.207608311,0.207608311,dwarfism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Carnivora,Martes_americana,,,1.004,882,896.994,0.001733713,0.001733713,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Martes_flavigula,,,0.810041248,2511.886432,2034.731621,-0.091492866,0.091492866,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Martes_foina,,,1.012,1670,1690.04,0.005180513,0.005180513,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Martes_martes,,,0.988,1300,1284.4,-0.005243055,0.005243055,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Martes_melampus,,,1,1000,1000,0,0,no_change,LC,Island populations dataset in this study,,yes,Median values from population dataset
Rodentia,Mastomys_natalensis,,,0.8725,62.1,54.18225,-0.059234564,0.059234564,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Maxomys_alticola,Borneo,,,,90,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Maxomys_bartelsii,Java,Maxomys_surifer,0.678191489,150.4,102,-0.168647664,0.168647664,dwarfism,LC,Faurby et al. 2020,Achmadi et al. 2013,yes,
Rodentia,Maxomys_hellwaldii,Sulawesi,Maxomys_surifer,1.349734043,150.4,203,0.130248202,0.130248202,gigantism,LC,Faurby et al. 2020,Achmadi et al. 2013,yes,
Rodentia,Maxomys_inflatus,Sumatra,,,,152,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Maxomys_musschenbroekii,Sulawesi,Maxomys_whiteheadi,1.514285714,56,84.8,0.180207825,0.180207825,gigantism,LC,Faurby et al. 2020,Achmadi et al. 2013,yes,
Rodentia,Maxomys_pagensis,South Pagai: North Pagai: Sipora: Siberut,Maxomys_rajah,1.30405855,150.3,196,0.115297091,0.115297091,gigantism,VU,Faurby et al. 2020,Achmadi et al. 2013,yes,
Rodentia,Maxomys_panglima,Balabac: Palawan: Busuanga: Calauit: Culion,Maxomys_surifer,1.256648936,150.4,189,0.099213968,0.099213968,gigantism,LC,Faurby et al. 2020,Achmadi et al. 2013,yes,
Rodentia,Maxomys_rajah,,,1.101199578,150,165.1799367,0.041866036,0.041866036,gigantism,VU,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Maxomys_surifer,,,1.011,150,151.65,0.004751156,0.004751156,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Maxomys_wattsi,Sulawesi,,,,147,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Maxomys_whiteheadi,,,1.148,59.2,67.9616,0.059941888,0.059941888,gigantism,VU,Island populations dataset in this study,,no,Median values from population dataset
Artiodactyla,Mazama_gouazoubira,,,0.87,19000,16530,-0.060480747,0.060480747,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Megaderma_spasma,,,0.9225,24.7,22.78575,-0.035033625,0.035033625,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Megaerops_kusnotoi,Java,Megaerops_ecaudatus,0.813765182,24.7,20.1,-0.089500896,0.089500896,dwarfism,VU,Faurby et al. 2020,Almeida et al. 2009,yes,
Carnivora,Meles_anakuma,,,0.92,11481.53621,10563.01332,-0.036212173,0.036212173,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Carnivora,Meles_meles,,,0.935441352,11481.53621,10740.30376,-0.028983436,0.028983436,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Melogale_everetti,,,0.718696538,1995.262315,1433.988118,-0.143454447,0.143454447,dwarfism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Carnivora,Melogale_moschata,,,0.938683882,812.8305162,762.9909039,-0.02748064,0.02748064,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Melogale_orientalis,Java: Bali,Melogale_personata,1.174743025,1702.5,2000,0.069942875,0.069942875,gigantism,LC,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Rodentia,Melomys_aerosus,Seram,Melomys_cervinipes,1.247435897,78,97.3,0.096018238,0.096018238,gigantism,EN,Faurby et al. 2020,Menzies 1996,yes,
Rodentia,Melomys_bannisteri,Kai Besar,Melomys_cervinipes,0.676923077,78,52.8,-0.16946068,0.16946068,dwarfism,EN,Faurby et al. 2020,Fabre et al. 2018,yes,
Rodentia,Melomys_caurinus,Karakelang: Salebabu,Melomys_leucogaster,1.364976959,108.5,148.1,0.13512532,0.13512532,gigantism,EN,Faurby et al. 2020,Fabre et al. 2018,yes,
Rodentia,Melomys_dollmani,New Guinea,,,,77.7,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Melomys_fraterculus,Seram,Melomys_cervinipes,0.612820513,78,47.8,-0.212666706,0.212666706,dwarfism,EN,Faurby et al. 2020,Fabre et al. 2018,yes,
Rodentia,Melomys_frigicola,New Guinea,,,,71,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Melomys_leucogaster,New Guinea,,,,108.5,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Melomys_lutillus,New Guinea,,,,37.4,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Melomys_matambuai,Manus,Melomys_rufescens,2.412645591,60.1,145,0.38249353,0.38249353,gigantism,EN,Faurby et al. 2020,Menzies 1996,yes,
Rodentia,Melomys_obiensis,Obi: Bisa,Melomys_cervinipes,0.91025641,78,71,-0.040836254,0.040836254,dwarfism,LC,Faurby et al. 2020,Fabre et al. 2018,yes,
Rodentia,Melomys_rufescens,New Guinea: Salawati: Misool: New Britain: New Ireland,,,,60.1,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Melomys_talaudium,Karakelang: Salebabu,Melomys_leucogaster,1.318894009,108.5,143.1,0.120209896,0.120209896,gigantism,EN,Faurby et al. 2020,Fabre et al. 2018,yes,
